wort,hitler,biden
struggling,5,10
stuck,4,5
student,15,53
studied,26,1
study,68,32
stuff,5,9
stumbling,1,1
subject,86,4
subjugation,2,2
submarine,3,6
submitting,3,1
subscribe,4,1
subscription,1,3
subsequently,31,1
subsidized,1,1
substance,11,2
substantial,1,4
substantially,1,2
substitute,9,2
succeed,36,11
succeeded,42,3
success,141,16
successful,38,8
successfully,10,4
successive,4,1
successor,3,1
sucked,1,3
sudden,14,9
suffer,15,5
suffered,15,4
suffering,31,11
sufficient,41,1
suggested,5,4
suggesting,1,2
suggestion,11,1
suggests,1,2
suit,7,2
sum,8,2
summer,14,15
summon,2,5
sun,5,6
sunday,2,6
superior,75,2
supervisor,1,1
supplied,5,1
supply,14,78
support,70,154
supported,15,18
supporter,12,8
supporting,3,18
supposed,5,8
suppress,5,7
suppressing,1,2
suppression,6,8
supremacy,6,5
supreme,32,30
sure,9,217
surely,22,1
surface,8,3
surgeon,1,3
surplus,3,1
surprise,3,10
surprised,12,7
surrender,7,1
surrendering,1,1
surround,2,1
surrounded,5,2
surrounding,3,3
survey,3,3
survive,4,1
survived,2,2
surviving,1,2
suspect,3,7
sustain,4,2
sustained,3,6
swallowed,2,1
swastika,7,1
sweating,1,1
swollen,2,1
sworn,1,16
sympathy,20,2
system,116,84
systematic,16,1
table,13,45
tackling,1,5
tactic,36,1
tactical,10,2
tail,1,2
take,273,273
taken,137,50
taking,53,76
talent,39,4
talented,2,2
talk,37,132
talked,10,39
talking,12,87
tangible,5,4
tariff,1,1
task,125,7
taste,5,2
taught,28,10
tax,1,276
taxpayer,1,8
teach,23,10
teacher,18,33
teaching,69,4
tear,11,5
tearing,1,2
technical,29,3
technician,1,3
technology,3,34
telephone,5,4
tell,13,115
telling,3,13
temperament,5,1
temporarily,5,5
temporary,7,6
ten,36,25
tend,9,1
tendency,33,2
tending,1,1
tends,9,1
tension,3,3
tenth,3,2
term,29,86
termed,1,1
terminate,1,1
terrible,35,11
terrified,1,1
territorial,26,2
territory,98,14
terror,10,6
terrorism,15,17
terrorist,4,26
test,26,57
testament,3,8
tested,1,6
testify,1,1
testing,1,35
text,3,7
th,35,94
thank,6,489
thankful,4,2
thanks,14,49
that,2,2
the,4,13
thee,1,1
theorist,12,2
thin,2,2
thing,160,437
think,104,464
thinking,40,13
third,32,43
thirdly,4,5
thirsty,1,1
thirteen,3,1
thirty,12,1
this,1,6
thorough,13,3
though,156,40
thought,100,82
thoughtful,1,1
thousand,164,96
threat,14,67
threaten,5,6
threatened,15,4
threatening,11,9
threatens,9,2
three,56,151
threshold,1,2
thrive,1,5
thriving,1,6
throat,2,4
throughout,40,36
throw,10,3
thrown,18,5
thursday,2,1
thus,336,12
thwarted,1,1
ticket,1,5
tie,12,2
till,3,3
tilt,1,1
time,659,526
timely,1,3
tipped,1,1
tire,3,1
tired,4,17
title,7,4
today,228,409
together,73,206
told,17,75
tolerance,7,2
tolerate,7,1
toll,1,8
tomb,1,3
tommy,1,3
tomorrow,8,24
tone,13,1
took,91,65
tool,3,50
top,3,49
torch,5,3
tore,1,1
tornado,1,16
torrent,1,1
total,14,31
totally,2,20
touch,4,1
tough,5,19
towards,162,1
tower,1,7
town,30,40
track,1,23
trade,38,18
tradition,24,6
traffic,2,1
trafficked,1,1
tragedy,6,14
tragic,16,2
trail,1,1
train,26,32
trained,35,9
training,97,12
trait,11,1
trampled,3,1
transcends,2,1
transfer,1,5
transferred,7,3
transform,16,9
transformation,12,1
transformed,21,1
transforming,6,7
transmit,2,2
transport,4,2
transporting,1,2
trap,1,1
travel,1,34
treasury,2,5
treat,2,13
treated,11,17
treating,1,3
treatment,6,26
treaty,35,4
tree,6,8
tremendous,19,2
trench,10,7
trend,9,4
trial,5,8
tribal,2,22
tribe,4,6
tribunal,4,3
trick,12,1
tried,37,12
triple,11,4
triumph,45,2
trivial,4,1
troop,32,83
trouble,20,33
true,103,40
truly,3,35
trust,9,24
trusted,1,7
truth,102,74
try,52,46
trying,15,58
tuesday,1,6
turmoil,5,1
turn,82,60
turned,43,18
turning,9,8
twenty,17,1
twice,2,9
twist,2,2
twisted,1,3
two,195,263
twofold,3,1
twothirds,1,2
type,32,17
typical,19,10
typically,1,2
tyranny,9,3
tyrant,1,1
u,278,523
ultimate,13,6
ultimately,8,9
unable,20,7
unadulterated,3,1
unanimous,2,3
uncertain,8,5
uncertainty,11,9
unchecked,3,1
uncomfortable,1,1
uncompromising,6,1
underestimate,1,3
undergone,2,2
underlying,10,1
undermine,9,6
undermining,7,3
understand,93,74
understandable,2,7
understanding,49,13
understands,4,11
understood,50,16
undertake,11,2
undertaken,17,4
undertaking,17,2
undone,1,1
unemployed,4,1
unemployment,4,51
unending,1,1
unfair,2,4
unfolds,1,1
unfortunately,50,7
uniform,26,8
union,35,108
unionist,1,1
unique,10,9
unison,1,1
unit,15,17
unite,6,13
united,41,379
unites,3,2
uniting,2,7
unity,21,13
universal,24,25
universally,3,1
university,9,28
unjustifiable,1,1
unjustly,3,1
unknown,20,7
unless,62,14
unlike,1,10
unlimited,6,3
unmistakable,2,1
unparalleled,5,2
unpopular,2,1
unqualified,1,1
unrelenting,2,3
unsafe,1,1
unseen,1,2
untold,3,2
unusual,3,4
unwavering,1,1
upheld,7,2
uphold,7,11
upholds,1,1
upon,202,12
upset,1,4
urban,3,11
urge,16,3
urged,8,1
urgency,1,4
urgent,6,15
urgently,1,2
us,9,10
use,98,72
used,81,130
useful,17,8
usher,1,1
using,9,22
usual,10,2
usually,16,7
utility,7,10
utmost,5,2
valley,1,5
valuable,23,4
value,86,37
variety,3,1
various,103,2
vary,6,1
varying,3,1
vast,25,27
vehicle,3,54
vengeance,12,1
vernacular,2,1
vessel,17,2
veteran,2,98
vial,1,4
vice,12,79
vicious,1,2
victim,43,3
victimized,1,2
victor,9,2
victory,79,7
view,153,81
viewed,1,3
viewpoint,1,1
vigorously,2,2
village,11,5
violation,4,6
violence,12,53
violent,13,10
virtue,35,1
virulent,3,1
virus,2,26
vision,8,19
visionary,9,1
visit,6,18
visited,2,9
vital,42,23
vividly,2,1
voice,18,25
void,2,1
voluntary,10,5
volunteer,22,3
volunteered,1,1
von,8,1
vote,20,158
voted,9,37
voter,2,25
voting,6,62
wage,26,69
waging,11,1
wait,9,29
waited,5,1
waiting,8,31
waitress,1,1
walk,7,32
walking,3,20
wall,13,47
wander,2,2
want,49,450
wanted,15,38
wanting,5,1
war,290,150
ward,4,1
warfare,10,1
warn,3,1
warned,2,1
warning,14,9
warrant,2,4
wartime,4,2
waste,5,9
watch,8,19
watched,4,8
watching,4,22
water,8,75
wave,9,8
waved,1,1
waving,1,1
way,365,411
we,3,15
weak,45,1
weaken,6,2
weakened,3,1
weaker,15,2
weakest,2,1
weakness,38,3
wealth,9,11
weapon,87,24
wear,5,10
wearing,5,8
wednesday,5,3
week,47,175
weekly,2,6
weight,8,2
welcome,8,24
welcomed,12,2
welfare,21,2
well,107,545
wellbeing,5,5
wellbred,1,1
wellmeaning,1,1
welltrained,1,1
went,48,98
west,5,28
western,20,9
whatever,28,29
whenever,21,8
whereabouts,1,1
whereas,52,1
whereby,18,1
wherever,13,12
whether,85,130
whip,1,1
whispered,1,3
white,26,56
whoever,8,1
whole,244,109
wholesale,2,5
whose,151,16
wide,4,4
widely,3,5
wider,7,2
widespread,2,6
widow,1,1
wife,11,56
wild,10,1
willing,25,23
willingness,4,8
win,36,56
wind,4,33
window,1,10
wing,2,1
winning,18,6
winter,12,27
wipe,7,4
wiped,6,11
wiping,1,1
wire,1,5
wisdom,26,2
wise,15,2
wisely,3,2
wiser,1,1
wish,63,17
wished,21,1
wishing,2,1
with,1,1
withdraw,3,6
withdrawn,1,1
withheld,1,2
within,143,47
without,183,86
withstand,7,5
withstanding,2,2
witnessed,8,3
woke,3,1
wolf,7,3
woman,25,123
wonder,2,15
wondered,8,2
wonderful,10,9
wood,2,3
word,116,61
work,260,335
worked,10,53
worker,79,183
working,42,262
workingclass,3,3
world,354,578
worn,4,1
worried,1,30
worry,5,22
worrying,1,5
worse,30,23
worship,5,1
worst,31,18
worth,42,12
worthy,17,5
would,960,234
wound,7,18
wounded,3,23
wrap,1,1
wrath,7,2
wreath,1,3
write,9,11
writer,19,1
writing,11,3
written,19,15
wrong,39,40
wrote,3,31
x,2,5
yard,3,3
year,302,707
yell,3,1
yellow,2,2
yes,1,71
yesterday,3,42
yet,122,48
yield,4,5
young,131,65
younger,11,1
youngest,1,3
youth,53,4
zone,2,4
—,7,8
‘how,2,1
