Magazine,Language,Origin,Systems,Source
Inferno,Russian,Russia,ZX Spectrum,"ZXpress,Pouet"
Inferno Guide,Russian,Russia,ZX Spectrum,Pouet
Infinity,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Infinity Diskmag,,,MS-DOS,
Influence,,,PAPER,Demozoo
Influx,,,Commodore 64,"Internet Archive,CSDB"
Info Guide,"Russian,English",Russia,ZX Spectrum,"ZXpress,Demozoo,Pouet"
Info System 4,,,Commodore 64,
Info-Corner,,,AMIGA OCS/ECS,
Infopedia,,,MS-DOS,
Informator,,,ATARI 8 BIT,
Infos Time,,,Commodore 64,
Infused Bytes,,,"MS-DOS,MS-Dos/gus",
Ingenious Brain,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Inject,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Inner Circle,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Innovision,,,ZX Spectrum,ZXpress
"Input, Input 64",,,Commodore 64,"Internet Archive,CSDB"
Inquire,,,"AMIGA AGA,AMIGA OCS/ECS",
Inquiry,,,Commodore 64,"Internet Archive,CSDB,Demozoo"
Insane,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Insane Inc. magazine,,,MS-DOS,
Insane Reality,,,MS-DOS,
Insanity,,,AMIGA OCS/ECS,
"Insanity, Insanity Magazine",,,MS-DOS,"Internet Archive,Demozoo,Pouet"
Inside Connection,,,Commodore 64,"Internet Archive,CSDB"
Inside Info,,,ATARI ST/E,
Inside View,,,Commodore 64,"Internet Archive,CSDB"
Insider,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Insight,,,MS-DOS,"Demozoo,Pouet"
"Insight, Insight Magazine",,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Insomnia,,,"AMIGA AGA,AMIGA OCS/ECS","Demozoo,Pouet"
Instant pack,,,AMIGA AGA,
Intel Outside,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Interaction,,,ATARI ST/E,
Interactive Fantasies 3rd Birthday Celebration magazine,,,MS-DOS,
Intern News,,,AMIGA OCS/ECS,
Internal,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Internews,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Interpose Review,,,MS-DOS,
Interstate 76 Review,,,MS-DOS,
Intoxication,,,Commodore 64,
Inverse,,,Commodore 64,"Internet Archive,CSDB,Pouet"
"Iridium, Iridium Magazine",,,MS-DOS,"Internet Archive,Demozoo,Pouet"
"Iron & Blood Review, Iron Blood Review",,,MS-DOS,
Irregular Review,,,AMIGA OCS/ECS,
IsPoint magazine,,,MS-DOS,
Italian Charts,,,AMIGA OCS/ECS,
IzhNews,Russian,Russia,ZX Spectrum,"ZXpress,Pouet"
Iznogoud Review,,,MS-DOS,
Izviestia,,,"AMIGA AGA,AMIGA OCS/ECS",
Izwiestia,,,MS-DOS,
J.G Zin,,,ATARI 8 BIT,
Jack Nicklaus Golf 4 Review,,,MS-DOS,
Jackpot Preview,,,Commodore 64,
Jamaica,,,Commodore 64,"Internet Archive,CSDB,Pouet"
January 1991 Catalogue (V2),,,ATARI ST/E,
Jestem - Preview,,,AMIGA OCS/ECS,
Johnnys Quest Review,,,MS-DOS,
Joint,Russian,Russia,ZX Spectrum,ZXpress
Joke disk,,,Atari ST,
Jokerama,,,AMIGA OCS/ECS,
Jolly Roger,,,AMIGA OCS/ECS,
Jolly Roger's Cookbook III,,,ATARI ST/E,
"Jong, Snel & Wild",,,AMIGA OCS/ECS,
Joyride,,,AMIGA OCS/ECS,
Juice,,,MS-DOS,
Jul Baja,,,Commodore 64,"Internet Archive,CSDB"
Jungle Strike Review,,,MS-DOS,
Jurassic Pack,,,"AMIGA AGA,AMIGA OCS/ECS",
Just The Facts,,,WINDOWS,
"Justice 4 All, JusticeAll",,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
K-Rad & Elite 2,,,AMIGA OCS/ECS,
KMAC,,,"AMIGA AGA,AMIGA OCS/ECS","Demozoo,Pouet"
Kal-Ko,,,Commodore 64,"Internet Archive,CSDB"
Kalafior,,,Commodore 64,"Internet Archive,CSDB,Demozoo"
Kangarookie,,,Commodore 64,Internet Archive
Karampuk Pack,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Karmelia,,,AMIGA OCS/ECS,
Katharsis Review,,,MS-DOS,
Kebab,,,Commodore 64,"Internet Archive,CSDB"
"Kebab, Kebab Magazine",,,AMIGA OCS/ECS,
Kelaug,,,ATARI ST/E,
Kelstar,,,ATARI ST/E,
Kendermag,,08.09.1997,MS-DOS,Demozoo
Key,Russian,Russia,ZX Spectrum,ZXpress
Kick Off 97 Review,,,MS-DOS,
Kickdown,,,AMIGA AGA,
KiiA Info,Russian,Russia,ZX Spectrum,ZXpress
Killer-Drive 64,German,,Commodore 64,"Internet Archive,CSDB,Pouet"
Kishka,,,Commodore 64,
Kithe,,,MS-DOS,"Internet Archive,Demozoo,Pouet"
"Knakebr0d, Knakebrød, Knakebroed",,,Commodore 64,"Internet Archive,CSDB"
Kosme,Russian,Russia,ZX Spectrum,ZXpress
Kpukdva,,,ZX Spectrum,
KrNews,Russian,Russia,ZX Spectrum,ZXpress
Krawall,,,,
Kraweznik,,,AMIGA OCS/ECS,"Demozoo,Pouet"
Kriik,,,"ZX Spectrum,PAPER","Demozoo,Pouet"
Krik,,,ZX Spectrum,
"Krush, Kill 'n' Destroy (KKND) Review",,,MS-DOS,
L.A.P.D. Disk Catalogue,,,ATARI ST/E,
LBA,,,Commodore 64,"Internet Archive,CSDB"
LLFB Docs,,,AMIGA OCS/ECS,
LameZin,,,AMIGA OCS/ECS,
Lameness,,,MS-DOS,
Lamer,English,,Commodore 64,"Internet Archive,CSDB"
Lamer Of The World,,,MS-DOS,
Lamergy,,,ZX Spectrum,
Lancelot 2,,,MS-DOS,
Lancelot Game Review Magazine,,,MS-DOS,
Lands Of Lore Solve,,,MS-DOS,
Lano,,,"MS-DOS,MS-Dos/gus",
Laser Squad Review,,,MS-DOS,
Last 128,Russian,Russia,ZX Spectrum,ZXpress
Last Action Hero Review,,,MS-DOS,
Lazernews,,,Commodore 64,
Le Reporter,,,MS-DOS,
Ledgers Diskmagazine,,,ATARI ST/E,
Leechers Dream,,,Commodore 64,Internet Archive
Legend,,,WINDOWS,
Legion,,,AMIGA OCS/ECS,
Lejmbajzelek,,,AMIGA AGA,
Lemmings Paintball Review,,,MS-DOS,
Lethal News,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Lethal Tender,,,MS-DOS,
Lettermania,,,AMIGA OCS/ECS,
Leuk & Stoer,,,AMIGA OCS/ECS,
Liberum Veto,,,Commodore 64,"Internet Archive,CSDB"
Librairie Demos Catalogue,,,ATARI ST/E,
Lies,,,Commodore 64,"Internet Archive,CSDB"
Life,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Life Magazyn,,,Commodore 64,"Internet Archive,CSDB"
Lifeforce,,,AMIGA OCS/ECS,
Light,,,Commodore 64,Internet Archive
Ligia Fanzine,,,"MS-DOS,AMIGA AGA",
Lime Tree,Russian,Russia,ZX Spectrum,ZXpress
Linear,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Listok,Russian,Belarus,ZX Spectrum,ZXpress
Lit-Erator: The perfect world,,,MS-DOS,
Little Big Adventure 2: Twinsens Odyssey Review,,,MS-DOS,
Little Txt Compil,,,Atari ST,
Live,,,AMIGA OCS/ECS,
LntNews,Russian,Russia,ZX Spectrum,ZXpress
Load'n'Run,,,Commodore 64,Internet Archive
Loadstar,,,Commodore 64,Internet Archive
Lobster Pot,,,AMIGA OCS/ECS,
Loco,,,Commodore 64,"Internet Archive,CSDB"
Lode Runner: Mad Monks Revenge Review,,,MS-DOS,
Logo Show,,,Commodore 64,Internet Archive
Lone News,,,COMMODORE 16/PLUS 4,
Lookain fanz,,,WINDOWS,
Loss of Carrier,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Lost Vikings 2 Review,,,MS-DOS,
Lotek64,,,Commodore 64,
Love 1,,,AMIGA OCS/ECS,
"Love'n'Sex, Love and Sex",,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Lprint,Russian,Belarus,ZX Spectrum,ZXpress
Lquid Information,,,MS-DOS,
Luna,,,MS-DOS,
Lunchtime,English,,AMIGA,Internet Archive
Lush,,,MS-DOS,
Lyriikat Osa,,,AMIGA OCS/ECS,
MAG.E,,,AMIGA,Internet Archive
MICRO MAG & PRESS FIRE,,,AMSTRAD CPC,
MIP Report,,,AMIGA OCS/ECS,
ML Class,,,Commodore 64,"Internet Archive,CSDB"
MPI Magazine,,,MS-DOS,
MSD,Russian,,ZX Spectrum,ZXpress
MSF,Russian,Russia,ZX Spectrum,ZXpress
Mad Mag,,,AMSTRAD CPC,
MadMag,,,MS-DOS,
Madania Press,,,MS-DOS,
Madness,Russian,Russia,ZX Spectrum,ZXpress
Mador Internal Magazin,,,AMIGA OCS/ECS,
Mag Disc Letter,,,ATARI ST/E,
Mag*Fan*Zine,,,Commodore 64,
Mag-Net,,,AMIGA OCS/ECS,
Magascene,English,,Commodore 64,"Internet Archive,CSDB,Pouet"
Magazinetic,,,Commodore 64,
Magbox,,,AMIGA OCS/ECS,"Internet Archive,Demozoo,Pouet"
Mage Hawk magazine,,,MS-DOS,
Maggay,,,MS-DOS,
Maggie,,,"ATARI ST/E,ATARI FALCON",
Maggy,,,AMIGA OCS/ECS,
Magia,,,Commodore 64,"Internet Archive,CSDB"
Magic,,,"AMIGA AGA,AMIGA OCS/ECS",
Magic Code,,,Commodore 64,CSDB
Magic Disk,,,Commodore 64,Internet Archive
"Magic Lotu, Magic L.O.T.U.",,,Commodore 64,"Internet Archive,CSDB"
Magic Mag,,,Commodore 64,"Internet Archive,CSDB"
"Magic News, MagicNews",,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Magik,,,MS-DOS,
Magness,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Magnetic Dreams,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Magnetic Fiction,,,AMIGA,Internet Archive
Magnetic Media,,,Commodore 64,"Internet Archive,CSDB,Demozoo"
Magnetic Warrior,,,Commodore 64,Internet Archive
Magnum Mag,,,ATARI ST/E,
Magpack Preview 1991,,,AMIGA OCS/ECS,
"Magyar Mehesz, Magyar Méhész","English,Hungarian",Hungary,Commodore 64,"Internet Archive,CSDB,Pouet"
"Mail Madness, Mail Madness!",English,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Malevolent Creations,,,AMIGA OCS/ECS,
Mamba,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Man Of War Review,,,MS-DOS,
Maniac Magazine,,,MS-DOS,
Manipulation,,,Commodore 64,Internet Archive
Mantronix News,,,Commodore 64,
Marazm,Russian,,ZX Spectrum,ZXpress
Marble Drop (For Win95) Review,,,MS-DOS,
Mask,,,ZX Spectrum,ZXpress
Massive Mag,,,"ATARI ST/E,Atari ST",
Master Of Orion Review,,,MS-DOS,
Masters Of Orion Review,,,MS-DOS,
Matrix,Russian,Belarus,ZX Spectrum,ZXpress
Maullar Maullar magazine,,,MS-DOS,
Max Pictures Sexual News,Russian,Russia,ZX Spectrum,ZXpress
Maxi Micro,,,AMSTRAD CPC,
Maximum,Russian,Russia,ZX Spectrum,ZXpress
Mayhem,,,MS-DOS,
McDisk,,,AMIGA OCS/ECS,"Internet Archive,Demozoo,Pouet"
Meat Puppets Review,,,MS-DOS,
Mega,,,ATARI ST/E,
Mega Disc,,,AMIGA OCS/ECS,
Mega Madness,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Mega Mag,,,Commodore 64,"Internet Archive,CSDB"
Mega Magazine,,,ATARI 8 BIT,
Mega Man X3 Review,,,MS-DOS,
Mega Top 20 Preview,,,AMIGA OCS/ECS,
Mega magazine,,,Commodore 64,Internet Archive
Mega-Madness One,,,Commodore 64,
Megahertz,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Megazin,,,AMIGA OCS/ECS,
Megazine,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Megazine February,English,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Mein Kampf,,,Commodore 64,
Melancholy,Russian,,ZX Spectrum,ZXpress
Members Message Box,,,AMIGA OCS/ECS,
Memberscroll,,,AMIGA OCS/ECS,
Memories Of The Past,,,"ATARI ST/E,ATARI FALCON,Atari ST",
Mendip,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Menel,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Menstruation,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Mental Slavery,,,AMIGA OCS/ECS,
Merlyn's Scrolls & Artefacts,,,AMIGA OCS/ECS,
Message Box (Destiny),,,AMIGA OCS/ECS,
Message Box (Dual Crew),,,AMIGA OCS/ECS,
Message Box (Euphoria),,,AMIGA OCS/ECS,
Message Box (Extreme),,,AMIGA OCS/ECS,
Message Box (Flashing Bytes),English,,AMIGA OCS/ECS,"Demozoo,Pouet"
Message Box (Lunatics),,,AMIGA OCS/ECS,
Message Box (Vixen),,,AMIGA OCS/ECS,Demozoo
Message Center,,,AMIGA OCS/ECS,
Message-Box,,,AMIGA OCS/ECS,
Messagebox,,,AMIGA OCS/ECS,
Metal Force,,,Commodore 64,
Metal Mania,,,Commodore 64,"Internet Archive,CSDB"
Metamorphosis,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Meteor,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Micro,Russian,Ukraine,ZX Spectrum,ZXpress
Micro on the Apple,,,APPLE II,Internet Archive (Apple II)
Microprose,,,AMIGA OCS/ECS,
Midnite Mess,,,AMIGA OCS/ECS,
Miggybyte,,,AMIGA OCS/ECS,"Internet Archive,Demozoo"
Millenium,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Mimeograph,,,MS-DOS,
Mindrape,,,MS-DOS,
Mindset magazine,,,MS-DOS,
Mine magazine,,,MS-DOS,
"Mini Mag, Mini-Mag",,,Commodore 64,"Internet Archive,CSDB"
Mini Magazine,,,Commodore 64,
Miracle,,,AMIGA AGA,
Miracle 1,,,AMIGA AGA,
Mirage,Russian,Russia,ZX Spectrum,ZXpress
Mirage (Extacy),,,Commodore 64,
Mirage (House Designs),,,Commodore 64,"Internet Archive,CSDB,Pouet"
Mirage (Royal Cracking Animals),,,Commodore 64,"Internet Archive,CSDB,Pouet"
Mirage (Union),,,Commodore 64,"Internet Archive,CSDB"
Mirikom,Russian,Russia,ZX Spectrum,ZXpress
Mis,,,Commodore 64,"Internet Archive,CSDB"
Misfit,,,Commodore 64,
Mish Mash,English,,Commodore 64,"Internet Archive,CSDB,Pouet"
Modern,Russian,Russia,ZX Spectrum,ZXpress
Mojo Fall,,,Commodore 64,Internet Archive
"Mojo, Mojo Mag, Mojo-Mag",,,Commodore 64,"Internet Archive,CSDB"
Money Talks,,,Commodore 64,
Monthly News,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Moon monkey,,,"AMIGA AGA,AMIGA OCS/ECS",
Moonlight,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Mortal Kombat 2 Review,,,MS-DOS,
Moto Racer Review,,,MS-DOS,
Mountain Beer Party 1992,,,AMIGA OCS/ECS,
Mountain Congress 1993 Raport,,,AMIGA OCS/ECS,
Mouse,,,Commodore 64,CSDB
Mouse Magazine,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Move,Russian,Belarus,ZX Spectrum,ZXpress
Movie,,,Commodore 64,Internet Archive
Mozkit,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Mu Mu Mate,,,AMIGA OCS/ECS,
Much STOS Gigazine,,,"ATARI ST/E,ATARI ST",
Muchomor,,,ZX Spectrum,
Mudia Art,,,WINDOWS,
Munside Now Disk-A-Zine,,,ATARI ST/E,
Murder Death Kill (MDK) Review,,,MS-DOS,
Murzilka,Russian,Russia,ZX Spectrum,ZXpress
Mustang,Russian,,ZX Spectrum,ZXpress
Mute,,,AMIGA AGA,
Mutilated,,,Commodore 64,"Internet Archive,CSDB"
My Speccy,Russian,,ZX Spectrum,ZXpress
Mystic Review,,,Commodore 64,"Internet Archive,CSDB,Pouet"
NAAG Zine,,,WINDOWS,
NASA-Mag,,,ATARI ST/E,
NHL Hockey Review,,,MS-DOS,
NOP,,,ATARI 8 BIT,
"NOTU, N.O.T.U., News of the Underground",,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
NRG,,,AMIGA AGA,
NSDAP,,,MS-DOS,
NULL emag.,,,"MS-DOS,WINDOWS,LINUX",
Napalm Death,,,MS-DOS,
Narcotic,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Narsil,,,Atari ST,
Nascar Racing Review,,,MS-DOS,
Nasz Dzemik,,,ATARI ST/E,Demozoo
National Cadaver,,,Commodore 64,Internet Archive
Natural,Russian,Russia,ZX Spectrum,ZXpress
Necronomicon,,,AMIGA OCS/ECS,
Necropsy,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Need For Speed 2,,,MS-DOS,
Neformal,Russian,Belarus,ZX Spectrum,ZXpress
NemoFAQ,Russian,Russia,ZX Spectrum,ZXpress
Neologia,,,MS-DOS,
Neopleons Review,,,MS-DOS,
"Net-Text, NetText",,,AMIGA OCS/ECS,
Netus News,Russian,Russia,ZX Spectrum,ZXpress
Network,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Neurosis,,,MS-DOS,
Neurowaver,,,AMIGA OCS/ECS,
Never Mind,Russian,Russia,ZX Spectrum,ZXpress
"Never mind, Nevermind",,,AMIGA OCS/ECS,
New Age Demo Database,,,MS-DOS,
New World Order,,,"MS-DOS,MS-Dos/gus",
News,,,Commodore 64,"Internet Archive,CSDB"
"News 'n' Charts, Nuz'n'Charts",,,Commodore 64,"Internet Archive,CSDB,Pouet"
News Bulletin,,,Commodore 64,"Internet Archive,CSDB,Pouet"
News File,,,AMIGA OCS/ECS,
News Flash,,,Commodore 64,
News Magazine,,,MS-DOS,
"News On Disc, News On Disk",,,Commodore 64,
News On Tour,,,AMIGA OCS/ECS,
News Press,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
News Week,,,AMIGA OCS/ECS,
NewsFlash (dik'88),,,AMIGA AGA,
Newsdisk,,,AMIGA OCS/ECS,
Newsflash,,,Commodore 64,
Newsgrooves,,,Commodore 64,
Newshawk,,,Commodore 64,"Internet Archive,CSDB"
Newsletter,,,Commodore 64,
Newsline,,,Commodore 64,
Newspaper,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Newstyle,,,Commodore 64,"Internet Archive,Pouet"
Newsweek,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Next,Russian,Belarus,ZX Spectrum,ZXpress
Next Life,,,AMIGA OCS/ECS,
Nibble,,,APPLE II,Internet Archive (Apple II)
Nick Faldo Golf Review,,,MS-DOS,
Nicron,Russian,Russia,ZX Spectrum,ZXpress
Nie Z Tej Beczki,,,AMIGA OCS/ECS,Demozoo
Night,,,Commodore 64,CSDB
Nightmares,,,Commodore 64,
"Nike, Nike Magazine",,,Commodore 64,"Internet Archive,CSDB,Pouet"
Nikfe,Russian,Russia,ZX Spectrum,ZXpress
Nitro,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
No Limits,,,Commodore 64,
No Problem,,,Commodore 64,"Internet Archive,CSDB"
No Sense,,,"AMIGA AGA,AMIGA OCS/ECS",
No fragments,,,"ATARI ST/E,ATARI FALCON,Atari ST",
Nofear News,,,MS-DOS,
Nohalogopagus,,,Commodore 64,"Internet Archive,CSDB"
Nono,,,Commodore 64,"Internet Archive,CSDB"
Nonsense,Russian,Russia,ZX Spectrum,ZXpress
Noosfera,Russian,Russia,ZX Spectrum,ZXpress
Nordic Report,,,AMIGA OCS/ECS,
Nordic Scene Review,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Norsktoppen,,,AMIGA AGA,
Notorious,"English,Turkish",,Commodore 64,"Internet Archive,CSDB,Pouet"
Nova,,,ATARI ST/E,
Nova Nekropola,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Nova magazine,,,MS-DOS,
Null,,,MS-DOS,
Numberology,Russian,Russia,ZX Spectrum,ZXpress
Néophyte,,,AMIGA AGA,
OK OB,,,Commodore 64,"Internet Archive,CSDB"
ON DISK MONTHLY,,,,Internet Archive
OZ Round Up,,,Commodore 64,"Internet Archive,CSDB"
Oasis,,,Commodore 64,"Internet Archive,CSDB"
ObTain,,,MS-DOS,
Oberon,Russian,Russia,ZX Spectrum,ZXpress
Obituary,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Obsession,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Oddech Latryny,,,ATARI 8 BIT,
Odyssey Magazine,Russian,Russia,ZX Spectrum,ZXpress
Odyssey paper,Russian,,ZX Spectrum,ZXpress
Oepir Risti,,,"AMIGA AGA,AMIGA OCS/ECS",
Offline,,,ATARI ST/E,
Oko,,,AMIGA OCS/ECS,
Ol' Times,,,Commodore 64,
Old Daddy,,,AMIGA OCS/ECS,
Oldskool Console Charts,,,,
Omega News,,,Commodore 64,"Internet Archive,CSDB"
Omlette,English,,MS-DOS,"Internet Archive,Demozoo"
On Disc,,,ATARI ST/E,
On Disk Revue,,,APPLE II,Internet Archive (Apple II)
On-Line,Russian,,ZX Spectrum,ZXpress
One More Shit,,,AMIGA OCS/ECS,
One!,,,Commodore 64,CSDB
Onslaught News,,,Commodore 64,Internet Archive
Ooze,,,MS-DOS,
Open Letters,Russian,Russia,ZX Spectrum,ZXpress
Opex,Russian,,ZX Spectrum,ZXpress
Opinion,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Opium,Russian,Belarus,ZX Spectrum,ZXpress
Optron,Russian,Ukraine,ZX Spectrum,ZXpress
Orbservant,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Orgasmic Attitude,,,Commodore 64,"Internet Archive,CSDB"
Orgazm,,,AMIGA OCS/ECS,
Orion,Russian,Belarus,ZX Spectrum,ZXpress
Ormo,,,AMIGA OCS/ECS,
Orphan,Russian,Russia,ZX Spectrum,ZXpress
Osmium,,,MS-DOS,
Ostrov,Russian,Russia,ZX Spectrum,ZXpress
Out Side,Russian,Ukraine,ZX Spectrum,ZXpress
Out of Space,,,AMIGA OCS/ECS,
Outbreak,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Outburst,,,Commodore 64,"Internet Archive,CSDB"
Outcast,,,AMIGA AGA,
Outdoor,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Outer Limits,,,AMIGA OCS/ECS,
Outlaw,,,AMIGA OCS/ECS,
Outlaw 1997 Review,,,MS-DOS,
Outlaws Express,,,AMIGA OCS/ECS,
Outlaws Review,,,MS-DOS,
Outlet,,,ZX Spectrum,"Internet Archive,ZXpress"
Outline,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Outrage,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Ovation,,,AMSTRAD CPC,
Overflow,,,MS-DOS,
Overlog,Russian,Belarus,ZX Spectrum,ZXpress
Overshadow,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Overtime,,,AMIGA AGA,
Overview,,,AMIGA AGA,
Ozsi,,,Commodore 64,"Internet Archive,CSDB"
P.D. List,,,ATARI ST/E,
"P.E.N.I.S, P.E.N.I.S.",,,AMIGA OCS/ECS,
PC Charts,,,MS-DOS,
PC-Review,,,MS-DOS,Internet Archive
PD 64 Classic,,,Commodore 64,Internet Archive
POD Review,,,MS-DOS,
POG,,,ATARI ST/E,
"Pac-Mag, Pacmag",,,"AMIGA AGA,AMIGA OCS/ECS",
Pacific General Review,,,MS-DOS,
Package 112,,,AMIGA AGA,
Paczka Tynku,Polish,Poland,"ATARI 8 BIT,Atari XL/XE","Demozoo,Pouet"
Paczka.TNQ,Polish,Poland,AMIGA AGA,Demozoo
Pain,,,"MS-DOS,WINDOWS",
Pajeczyna,Polish,Poland,Commodore 64,CSDB
Palantir,,,"MS-DOS,MS-Dos/gus",
Palladium,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Pandemonium Review,,,MS-DOS,
Panolama,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Paper White,,,AMIGA OCS/ECS,
Paradigm: The Guide To Ansi,,,MS-DOS,
Paradise,,,"AMIGA AGA,AMIGA OCS/ECS",
Paradox,Russian,,ZX Spectrum,ZXpress
Paranews,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Paranoia,,,MS-DOS,
Paranoia Newsletter,,,MS-DOS,
Parrot,,,"MS-DOS,MS-Dos/gus",
Party Talk,,,Commodore 64,Internet Archive
Partybox,,,AMIGA OCS/ECS,
Passion,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Patriotism magazine,,,MS-DOS,
Peanuts,,,AMIGA OCS/ECS,
Peece,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Peeker,"English,German",Germany,APPLE II,Internet Archive (Apple II)
Penguindom,,,MS-DOS,
Pentagram News,,,Commodore 64,"Internet Archive,CSDB"
PentagramZine,,,ATARI 8 BIT,
Peresztrojka,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Pestilence,,,Commodore 64,"Internet Archive,CSDB"
Phalanxie,,,AMIGA OCS/ECS,
Phantasy Files,,,ZX Spectrum,
Phibercom,,,Commodore 64,"Internet Archive,CSDB"
Phiberoptik Phreakers,,,Commodore 64,"Internet Archive,CSDB"
Phoenix,,,"AMIGA AGA,AMIGA OCS/ECS",
Phoenix Power magazine,,,MS-DOS,
Photonia,,,Commodore 64,"Internet Archive,CSDB"
Phreak Forum,English,,Commodore 64,"Internet Archive,CSDB"
Phreak Out,,,Commodore 64,
Phreakin' Hell,,,Commodore 64,
Phreaking Only,,,AMIGA OCS/ECS,
Phreaks And Phreaking,,,AMIGA OCS/ECS,"Internet Archive,Demozoo"
Phun Philes,,,Commodore 64,
Pin Up,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Pinball Mania Review,,,MS-DOS,
Pioneer,Russian,,ZX Spectrum,ZXpress
Pirates,,,"Commodore 64,PAPER","Internet Archive,CSDB,Pouet"
Pirates Analyze Warez,,,MS-DOS,
Pivo,English,,Commodore 64,"Internet Archive,CSDB"
Pizza and Coke,,,AMIGA OCS/ECS,
Planet,,,WINDOWS,
Planet E,,,AMIGA OCS/ECS,
Planet Italy,,,AMIGA AGA,
Plasma,,,AMIGA OCS/ECS,
Plastic,,,AMIGA AGA,
Platinum,Russian,Russia,ZX Spectrum,ZXpress
Playback,German,Germany,Commodore 64,Internet Archive
Playboy,Russian,Ukraine,ZX Spectrum,ZXpress
Playbyte,,,AMIGA OCS/ECS,
Player Mag,,,"ATARI ST/E,Atari ST",
Player Of The Year Review,,,MS-DOS,
Plazma,,,WINDOWS,
Pleasure Palace magazine,,,MS-DOS,
Plutonium,Russian,Russia,ZX Spectrum,ZXpress
Poczytaj Mi Mamo,Polish,Poland,"AMIGA AGA,AMIGA OCS/ECS","Demozoo,Pouet"
Poesitro,,,AMIGA AGA,
Point,,,ZX Spectrum,
Point of View,English,,Commodore 64,"Internet Archive,CSDB,Pouet"
Pointovka Report,Russian,Belarus,ZX Spectrum,ZXpress
Poison,Polish,,Commodore 64,CSDB
Poke Tip und Trick's Diskette,German,,Commodore 64,CSDB
Pokey's Infodisk,,,ATARI 8 BIT,
Poland B,,,AMIGA OCS/ECS,
Polesse,Russian,Belarus,ZX Spectrum,ZXpress
Political View,,,Commodore 64,Internet Archive
